YEAR,TOTAL
'2017','7568'
'2016','10779'
'2015','10305'
'2014','8185'
'2013','3022'
'2012','2.77E+3'
'2011','715'
'2010','523'
'2009','618'
'2008','698'
'2007','956'
'2006','407'
'2005','377'
'2004','204'
'2003','203'
'2002','3.3E+2'
'2001','244'
'2000','276'
'1999','166'
'1998','565'
'1997','203'
'1996','54'
'1995','113'
'1994','94'
'1992','13'
'1991','3E+1'
'1990','15'
'1989','16'
'1988','33'
'1987','55'
'1986','158'
'1985','201'
'1984','251'
'1983','1E+2'
'1982','84'
'1981','49'
'1980','76'
'1979','76'
'1978','36'
'1977','18'
'1976','19'
'1975','107'
'1974','22'
'1973','29'
'1972','17'
'1971','6'
'1970','12'
