age,totalsubscribers
21,26623
20,21894
22,19948
23,19523
24,18358
25,17180
26,16328
19,15055
27,14655
28,13277
29,12430
30,12018
31,11004
51,10700
50,10389
52,10228
49,9913
53,9141
48,9140
54,8803
32,8790
55,8485
47,8301
18,8107
46,7877
33,7776
56,7683
45,7152
57,7065
34,6798
44,6600
35,6393
43,6231
58,6165
42,5933
41,5930
36,5746
40,5667
59,5437
37,5366
39,5358
38,5266
60,4987
61,4372
62,3858
63,3401
64,3004
17,2987
65,2562
66,2338
67,2015
68,1899
69,1724
70,1423
71,1330
NULL,1205
72,1099
73,978
74,891
75,692
76,478
77,345
78,236
79,206
80,169
81,129
82,86
16,75
83,50
84,41
85,27
88,16
87,14
86,14
92,7
89,5
90,5
99,5
91,4
95,2
98,2
94,1
97,1
